FechayHora ; AlturaCeneha ; AlturaPrefectura
12/04/2018 00:00 ; 4.39 ; 4.32
13/04/2018 12:00 ; 4.36 ; 4.34
13/04/2018 00:00 ; 4.36 ; 4.36
14/04/2018 12:00 ; 4.36 ; 4.33
14/04/2018 00:00 ; 4.35 ; 4.34
15/04/2018 12:00 ; 4.36 ; 4.34
15/04/2018 00:00 ; 4.36 ; 4.33
16/04/2018 12:00 ; 4.35 ; 4.32
16/04/2018 00:00 ; 4.35 ; 4.33
17/04/2018 12:00 ; 4.36 ; 4.31
17/04/2018 00:00 ; 4.34 ; 4.32
18/04/2018 12:00 ; 4.35 ; 4.3
18/04/2018 00:00 ; 4.34 ; 4.31
19/04/2018 12:00 ; 4.34 ; 4.28
19/04/2018 00:00 ; 4.34 ; 4.3
20/04/2018 12:00 ; 4.39 ; 4.28
20/04/2018 00:00 ; 4.33 ; 4.28
21/04/2018 12:00 ; 4.37 ; 4.33
21/04/2018 00:00 ; 4.37 ; 4.33
22/04/2018 12:00 ; 4.34 ; 4.28
22/04/2018 00:00 ; 4.33 ; 4.33
23/04/2018 12:00 ; 4.33 ; 4.28
23/04/2018 00:00 ; 4.3 ; 4.28
24/04/2018 12:00 ; 4.29 ; 4.26
24/04/2018 00:00 ; 4.31 ; 4.28
25/04/2018 12:00 ; 4.27 ; 4.22
25/04/2018 00:00 ; 4.28 ; 4.26
26/04/2018 12:00 ; 4.26 ; 4.2
26/04/2018 00:00 ; 4.25 ; 4.22
27/04/2018 12:00 ; 4.21 ; 4.16
27/04/2018 00:00 ; 4.22 ; 4.2
28/04/2018 00:00 ; 4.18 ; 4.16
29/04/2018 12:00 ; 4.12 ; 4.13
29/04/2018 00:00 ; 4.13 ; 4.16
30/04/2018 12:00 ; 4.07 ; 4.07
30/04/2018 00:00 ; 4.1 ; 4.07
01/05/2018 12:00 ; 4.05 ; 4.04
01/05/2018 00:00 ; 4.06 ; 4.07
02/05/2018 12:00 ; 4.04 ; 4
02/05/2018 00:00 ; 4.02 ; 4.04
03/05/2018 12:00 ; 4.02 ; 4.01
03/05/2018 00:00 ; 4.01 ; 4
04/05/2018 12:00 ; 4.04 ; 4.02
04/05/2018 00:00 ; 4.03 ; 4.01
